state,governorparty,lockdown-order,lockdownbegin,lockdownend,lockdowndays,coviddeathspercapita,health,economy,social,education,average
alabama,0,1,4/4/2020,4/30/2020,26,152.8,12,63,58,84,54
Alaska,0,1,3/28/2020,5/20/2020,53,109.5,78,34,43,50,51
Arizona,0,1,3/31/2020,4/30/2020,30,139.5,30,81,54,46,53
Arkansas,0,0,0,0,0,127.7,20,82,26,60,47
California,1,1,4/8/2020,1/25/2021,292,99.9,70,39,62,45,54
Colorado,1,1,3/26/2020,04/26/2020,31,84.2,67,43,56,57,56
Connecticut,1,1,3/23/2020,5/20/2020,58,56.7,72,19,67,72,58
Delaware,1,1,3/24/2020,5/15/2020,52,83.2,59,45,51,72,57
Florida,0,1,4/3/2020,4/30/2020,27,111.7,33,55,67,76,58
Georgia,0,1,4/3/2020,4/30/2020,27,135.9,17,63,32,76,47
Hawaii,1,1,3/25/2020,5/31/2020,67,36.5,83,0,89,45,54
Idaho,0,1,3/25/2020,4/30/2020,36,112.3,40,86,40,97,66
Illinois,1,1,3/21/2020,4/30/2020,40,73.4,58,28,75,50,53
Indiana,0,1,3/24/2023,5/1/2023,38,106.8,29,64,78,61,58
Iowa,0,0,0,0,0,75.9,45,71,50,60,57
Kansas,1,1,3/30/2023,05/03,34,103.1,38,71,50,79,59
Kentucky,1,1,3/26/2023,6/30/2023,96,136.7,21,67,45,27,40
Louisiana,1,1,3/23/2023,5/15/2023,53,116.9,19,30,57,87,48
Maine,1,1,4/2/2023,5/31/2023,59,66.2,93,58,57,24,58
Maryland,0,1,3/30/2023,6/1/2023,63,71.2,73,42,85,N/A,66
Massachusetts,1,1,3/24/2023,5/4/2023,41,54.6,76,23,82,51,58
Michigan,1,1,3/24/2023,5/15/2023,52,107.1,40,30,65,39,43
Minnesota,1,1,3/27/2023,5/3/2023,37,64.1,78,48,50,75,63
Mississippi,0,1,04/03,5/11/2023,38,146.3,16,78,21,22,34
Missouri,0,1,4/6/2023,5/3/2023,27,100.5,32,67,55,69,56
Montana,1,1,3/28/2023,4/10/2023,13,108.8,23,85,46,83,59
Nebraska,0,0,0,0,0,69,56,90,49,95,73
Nevada,1,1,4/1/2023,4/30/2023,29,141.6,31,5,65,35,34
New Hampshire,0,1,3/27/2023,5/31/2023,65,60.2,,,,,
New Jersey,1,1,3/23/2023,6/6/2023,75,71.9,50,20,85,63,55
New Mexico,1,1,3/24/2023,5/15/2023,52,136.3,49,52,66,35,50
New York,1,1,3/22/2023,5/15/2023,54,83.9,59,18,50,45,43
North Carolina,1,1,03/30,05/08,39,107.5,55,69,29,33,47
North Dakota,0,0,0,0,0,70.9,36,49,29,86,50
Ohio,0,1,3/23/2023,5/1/2023,39,122.8,36,54,54,64,52
Oklahoma,0,0,0,0,0,158.8,17,47,39,98,50
Oregon,1,1,3/23/2023,6/25/2023,94,69.2,79,50,54,46,57
Pennsylvania,1,1,4/1/2023,5/8/2023,37,102.5,47,36,42,93,54
Rhode Island,1,1,3/28/2023,5/8/2023,41,66.4,77,27,55,67,56
South Carolina,0,1,3/28/2023,4/6/2023,9,139.2,32,61,48,45,46
South Dakota,0,0,0,0,0,71.2,31,89,25,99,61
Tennessee,0,1,3/31/2023,4/30/2023,30,142.5,31,62,32,60,46
Texas,0,1,4/2/2023,4/30/2023,28,151.4,31,59,48,61,50
Utah,0,0,0,0,0,78.2,61,89,48,66,66
Vermont,0,1,3/25/2023,5/15/2023,51,29.5,98,29,62,51,60
Virginia,1,1,3/30/2023,6/10/2023,72,88.5,70,50,71,28,55
Washington,1,1,3/23/2023,5/4/2023,42,61.5,79,73,65,25,61
West Virginia,0,1,3/24/2023,5/4/2023,41,146.8,26,53,24,46,37
Wisconsin,1,1,03/25,5/26/2023,62,71.1,51,53,40,64,52
Wyoming,0,1,3/28/2023,4/17/2023,20,143.4,26,41,18,N/A,28
